external_event_id,external_player_id,device_id,ip_address,event_type,device_type,country_code,user_agent,session_id,occurred_at
DEV-000067,PLY-NORM-008,dev-ply-norm-008,192.168.196.37,BET,MOBILE_ANDROID,BR,Mozilla/5.0 (Windows),sess-820335ba-120,2026-01-04T12:01:28Z
DEV-000608,PLY-NORM-076,dev-ply-norm-076,192.168.62.241,DEPOSIT,TABLET,BR,Mozilla/5.0 (Android),sess-100dd0a8-eab,2026-01-04T13:35:41Z
DEV-000990,PLY-NETW-107,SHARED-NET-GAMMA-001,177.92.55.42,WITHDRAWAL,MOBILE_ANDROID,BR,Mozilla/5.0 (Windows),sess-a45af25a-bba,2026-01-04T15:33:35Z
DEV-000751,PLY-STRU-094,dev-ply-stru-094,192.168.6.246,BET,MOBILE_IOS,BR,Mozilla/5.0 (Mac),sess-d3d6ac2c-bfb,2026-01-04T16:23:03Z
DEV-000334,PLY-NORM-041,dev-ply-norm-041,192.168.138.19,WITHDRAWAL,TABLET,BR,Mozilla/5.0 (Android),sess-75c38df7-712,2026-01-04T16:56:13Z
DEV-000703,PLY-INCO-088,dev-ply-inco-088,192.168.62.122,WITHDRAWAL,TABLET,BR,Mozilla/5.0 (Windows),sess-aba5e4ac-2c2,2026-01-04T17:29:33Z
DEV-000453,PLY-NORM-056,dev-ply-norm-056,192.168.119.227,LOGIN,DESKTOP,BR,Mozilla/5.0 (Windows),sess-44685e72-1b7,2026-01-04T23:06:58Z
DEV-000183,PLY-NORM-022,dev-ply-norm-022,192.168.118.90,BET,MOBILE_IOS,BR,Mozilla/5.0 (iPhone),sess-45d3f4d0-c7a,2026-01-05T05:40:37Z
DEV-000275,PLY-NORM-034,dev-ply-norm-034,192.168.161.153,LOGIN,DESKTOP,BR,Mozilla/5.0 (Android),sess-d45f046a-b9a,2026-01-05T06:11:34Z
DEV-000890,PLY-NETW-100,dev-ply-netw-100,192.168.52.77,BET,MOBILE_ANDROID,BR,Mozilla/5.0 (Mac),sess-5be1834e-165,2026-01-05T09:44:23Z
DEV-000402,PLY-NORM-049,dev-ply-norm-049,192.168.231.13,BET,DESKTOP,BR,Mozilla/5.0 (Android),sess-2b539c73-00f,2026-01-05T10:44:23Z
DEV-000059,PLY-NORM-008,dev-ply-norm-008,192.168.196.37,WITHDRAWAL,TABLET,BR,Mozilla/5.0 (Mac),sess-5cfad161-104,2026-01-05T13:28:51Z
DEV-000929,PLY-NETW-103,dev-ply-netw-103,192.168.121.197,LOGIN,DESKTOP,BR,Mozilla/5.0 (Windows),sess-140f3c08-58c,2026-01-05T13:31:14Z
DEV-000427,PLY-NORM-052,dev-ply-norm-052,192.168.32.227,WITHDRAWAL,MOBILE_IOS,BR,Mozilla/5.0 (iPhone),sess-857959d2-ab3,2026-01-05T15:47:38Z
DEV-000554,PLY-NORM-069,dev-ply-norm-069,192.168.209.127,BET,MOBILE_ANDROID,BR,Mozilla/5.0 (Windows),sess-becf7e32-b0e,2026-01-05T16:54:53Z
DEV-000510,PLY-NORM-064,dev-ply-norm-064,192.168.11.131,LOGIN,TABLET,BR,Mozilla/5.0 (Windows),sess-565c4d05-017,2026-01-05T23:00:51Z
DEV-000343,PLY-NORM-042,dev-ply-norm-042,192.168.173.247,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (Android),sess-d7b4fd22-322,2026-01-05T23:51:03Z
DEV-000976,PLY-NETW-106,dev-ply-netw-106,192.168.16.160,BET,TABLET,BR,Mozilla/5.0 (Windows),sess-cac2eb4a-370,2026-01-06T03:27:12Z
DEV-000467,PLY-NORM-058,dev-ply-norm-058,192.168.173.106,LOGIN,MOBILE_ANDROID,BR,Mozilla/5.0 (Windows),sess-1c721752-d81,2026-01-06T04:36:09Z
DEV-000303,PLY-NORM-037,dev-ply-norm-037,192.168.154.97,LOGIN,DESKTOP,BR,Mozilla/5.0 (Windows),sess-bb377798-b4d,2026-01-06T11:17:36Z
DEV-000977,PLY-NETW-106,SHARED-NET-BETA-001,200.18.77.33,LOGIN,DESKTOP,BR,Mozilla/5.0 (iPhone),sess-6786a142-63e,2026-01-06T11:35:45Z
DEV-000287,PLY-NORM-035,dev-ply-norm-035,192.168.67.104,DEPOSIT,TABLET,BR,Mozilla/5.0 (Mac),sess-b4a4fdd9-0b1,2026-01-06T12:56:35Z
DEV-000779,PLY-STRU-098,dev-ply-stru-098,192.168.79.153,DEPOSIT,MOBILE_IOS,BR,Mozilla/5.0 (iPhone),sess-b4dbc033-fac,2026-01-06T15:34:24Z
DEV-000838,PLY-PEP_-117,dev-ply-pep_-117,192.168.62.191,DEPOSIT,TABLET,BR,Mozilla/5.0 (Windows),sess-0f67f002-35e,2026-01-06T15:51:58Z
DEV-000082,PLY-NORM-010,dev-ply-norm-010,192.168.148.97,WITHDRAWAL,DESKTOP,BR,Mozilla/5.0 (Windows),sess-c93568ca-246,2026-01-06T16:11:55Z
DEV-000728,PLY-STRU-091,dev-ply-stru-091,192.168.122.73,BET,MOBILE_ANDROID,BR,Mozilla/5.0 (Mac),sess-669e6598-3cb,2026-01-06T16:23:23Z
DEV-001018,PLY-NETW-109,dev-ply-netw-109,192.168.165.184,DEPOSIT,MOBILE_IOS,BR,Mozilla/5.0 (Android),sess-3096c958-bb2,2026-01-06T19:01:20Z
DEV-000713,PLY-INCO-089,dev-ply-inco-089,192.168.100.120,BET,TABLET,BR,Mozilla/5.0 (Windows),sess-afa4fa73-b21,2026-01-06T19:22:31Z
DEV-000615,PLY-NORM-077,dev-ply-norm-077,192.168.74.215,BET,MOBILE_ANDROID,BR,Mozilla/5.0 (iPhone),sess-b7665db5-03c,2026-01-07T00:55:16Z
DEV-000792,PLY-BONU-112,dev-ply-bonu-112,192.168.190.9,DEPOSIT,DESKTOP,BR,Mozilla/5.0 (iPhone),sess-48ae0ae6-063,2026-01-07T00:59:40Z
DEV-000919,PLY-NETW-102,SHARED-NET-ALPHA-001,189.45.100.10,DEPOSIT,MOBILE_IOS,BR,Mozilla/5.0 (Android),sess-ec05753c-27a,2026-01-07T01:10:34Z
DEV-000656,PLY-INCO-082,dev-ply-inco-082,192.168.115.192,LOGIN,TABLET,BR,Mozilla/5.0 (Windows),sess-8f4917e4-bce,2026-01-07T03:12:50Z
DEV-000289,PLY-NORM-035,dev-ply-norm-035,192.168.67.104,BET,TABLET,BR,Mozilla/5.0 (Android),sess-09431363-776,2026-01-07T04:18:04Z
DEV-000992,PLY-NETW-107,SHARED-NET-GAMMA-001,177.92.55.42,WITHDRAWAL,DESKTOP,BR,Mozilla/5.0 (Windows),sess-2a99759f-863,2026-01-07T04:27:39Z
DEV-000385,PLY-NORM-047,dev-ply-norm-047,192.168.123.183,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (iPhone),sess-2c833f27-3fc,2026-01-07T08:14:42Z
DEV-000341,PLY-NORM-042,dev-ply-norm-042,192.168.173.247,LOGIN,TABLET,BR,Mozilla/5.0 (Mac),sess-657d213f-545,2026-01-07T11:39:18Z
DEV-000233,PLY-NORM-029,dev-ply-norm-029,192.168.243.50,DEPOSIT,MOBILE_ANDROID,BR,Mozilla/5.0 (Mac),sess-be6a67fe-cf6,2026-01-07T12:35:12Z
DEV-000344,PLY-NORM-042,dev-ply-norm-042,192.168.173.247,DEPOSIT,MOBILE_ANDROID,BR,Mozilla/5.0 (Windows),sess-b0d399a9-092,2026-01-07T15:50:08Z
DEV-001016,PLY-NETW-109,SHARED-NET-GAMMA-001,177.92.55.42,BET,MOBILE_IOS,BR,Mozilla/5.0 (Mac),sess-814adab0-1a4,2026-01-07T16:44:57Z
DEV-000563,PLY-NORM-071,dev-ply-norm-071,192.168.127.248,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (iPhone),sess-d4980a6f-cf8,2026-01-07T19:29:11Z
DEV-000405,PLY-NORM-049,dev-ply-norm-049,192.168.231.13,LOGIN,MOBILE_ANDROID,BR,Mozilla/5.0 (Windows),sess-e87e428a-e33,2026-01-07T20:06:25Z
DEV-000443,PLY-NORM-054,dev-ply-norm-054,192.168.72.222,BET,TABLET,BR,Mozilla/5.0 (Windows),sess-fa72bdb7-b17,2026-01-07T23:23:18Z
DEV-000810,PLY-BONU-114,dev-ply-bonu-114,192.168.96.102,BET,MOBILE_ANDROID,BR,Mozilla/5.0 (Windows),sess-57ba8b0f-40c,2026-01-08T05:00:03Z
DEV-000925,PLY-NETW-103,SHARED-NET-BETA-001,200.18.77.33,WITHDRAWAL,MOBILE_IOS,BR,Mozilla/5.0 (Mac),sess-cad868c2-4d4,2026-01-08T08:16:57Z
DEV-000332,PLY-NORM-041,dev-ply-norm-041,192.168.138.19,BET,DESKTOP,BR,Mozilla/5.0 (Windows),sess-60a29c00-9cf,2026-01-08T11:40:07Z
DEV-000475,PLY-NORM-058,dev-ply-norm-058,192.168.173.106,LOGIN,MOBILE_ANDROID,BR,Mozilla/5.0 (iPhone),sess-92cd097f-499,2026-01-08T12:17:00Z
DEV-000790,PLY-BONU-112,dev-ply-bonu-112,192.168.190.9,LOGIN,DESKTOP,BR,Mozilla/5.0 (iPhone),sess-fbfa8f5c-550,2026-01-08T13:17:51Z
DEV-000941,PLY-NETW-104,SHARED-NET-BETA-001,200.18.77.33,DEPOSIT,DESKTOP,BR,Mozilla/5.0 (iPhone),sess-62c879a2-874,2026-01-08T20:00:46Z
DEV-000005,PLY-NORM-001,dev-ply-norm-001,192.168.99.51,LOGIN,DESKTOP,BR,Mozilla/5.0 (Windows),sess-9f991a94-42c,2026-01-08T21:26:55Z
DEV-000869,PLY-NETW-099,SHARED-NET-ALPHA-001,189.45.100.10,BET,MOBILE_ANDROID,BR,Mozilla/5.0 (Android),sess-99771293-86d,2026-01-08T23:32:04Z
DEV-000572,PLY-NORM-072,dev-ply-norm-072,192.168.198.220,BET,MOBILE_IOS,BR,Mozilla/5.0 (Mac),sess-ab805ef4-d5d,2026-01-09T00:32:25Z
DEV-000522,PLY-NORM-066,dev-ply-norm-066,192.168.233.142,BET,TABLET,BR,Mozilla/5.0 (Mac),sess-5bd53de8-4c8,2026-01-09T00:41:41Z
DEV-000046,PLY-NORM-006,dev-ply-norm-006,192.168.6.198,LOGIN,TABLET,BR,Mozilla/5.0 (Android),sess-ea4cbae1-c58,2026-01-09T04:45:31Z
DEV-000498,PLY-NORM-063,dev-ply-norm-063,192.168.81.179,LOGIN,DESKTOP,BR,Mozilla/5.0 (iPhone),sess-f22a66e6-ebd,2026-01-09T04:55:24Z
DEV-000607,PLY-NORM-076,dev-ply-norm-076,192.168.62.241,BET,TABLET,BR,Mozilla/5.0 (Mac),sess-173dd39c-5ee,2026-01-09T07:05:01Z
DEV-000605,PLY-NORM-076,dev-ply-norm-076,192.168.62.241,WITHDRAWAL,MOBILE_ANDROID,BR,Mozilla/5.0 (Windows),sess-eeb6e81a-988,2026-01-09T13:41:15Z
DEV-000286,PLY-NORM-035,dev-ply-norm-035,192.168.67.104,BET,TABLET,BR,Mozilla/5.0 (Mac),sess-2cf3b830-442,2026-01-09T14:11:14Z
DEV-000448,PLY-NORM-055,dev-ply-norm-055,192.168.92.119,BET,TABLET,BR,Mozilla/5.0 (iPhone),sess-6367aa62-c11,2026-01-09T15:41:48Z
DEV-000506,PLY-NORM-063,dev-ply-norm-063,192.168.81.179,LOGIN,DESKTOP,BR,Mozilla/5.0 (Windows),sess-b88d901e-4b0,2026-01-09T17:29:28Z
DEV-000291,PLY-NORM-036,dev-ply-norm-036,192.168.131.200,DEPOSIT,MOBILE_IOS,BR,Mozilla/5.0 (Mac),sess-152e9792-505,2026-01-09T18:40:46Z
DEV-000923,PLY-NETW-103,SHARED-NET-BETA-001,200.18.77.33,LOGIN,MOBILE_ANDROID,BR,Mozilla/5.0 (iPhone),sess-1a67b75d-31c,2026-01-09T19:25:25Z
DEV-000575,PLY-NORM-073,dev-ply-norm-073,192.168.96.157,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (Android),sess-ada2b5a4-38b,2026-01-09T19:38:51Z
DEV-000565,PLY-NORM-071,dev-ply-norm-071,192.168.127.248,BET,MOBILE_ANDROID,BR,Mozilla/5.0 (Windows),sess-a1363c67-088,2026-01-09T20:05:32Z
DEV-000891,PLY-NETW-100,SHARED-NET-ALPHA-001,189.45.100.10,LOGIN,TABLET,BR,Mozilla/5.0 (Windows),sess-e76af8ba-a7a,2026-01-09T21:05:45Z
DEV-000093,PLY-NORM-012,dev-ply-norm-012,192.168.22.248,DEPOSIT,MOBILE_IOS,BR,Mozilla/5.0 (Windows),sess-2446b508-a0b,2026-01-10T02:34:57Z
DEV-000714,PLY-INCO-089,dev-ply-inco-089,192.168.100.120,BET,DESKTOP,BR,Mozilla/5.0 (Windows),sess-45a7e2f7-172,2026-01-10T03:04:07Z
DEV-000085,PLY-NORM-010,dev-ply-norm-010,192.168.148.97,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (Mac),sess-22a96e80-733,2026-01-10T03:59:19Z
DEV-000195,PLY-NORM-023,dev-ply-norm-023,192.168.135.97,LOGIN,TABLET,BR,Mozilla/5.0 (Windows),sess-c1b6dcbe-520,2026-01-10T04:43:37Z
DEV-000763,PLY-STRU-095,dev-ply-stru-095,192.168.222.123,BET,TABLET,BR,Mozilla/5.0 (iPhone),sess-f3ebc6e7-26f,2026-01-10T04:59:19Z
DEV-000710,PLY-INCO-089,dev-ply-inco-089,192.168.100.120,BET,DESKTOP,BR,Mozilla/5.0 (iPhone),sess-d8b83d38-498,2026-01-10T05:38:49Z
DEV-000339,PLY-NORM-042,dev-ply-norm-042,192.168.173.247,DEPOSIT,DESKTOP,BR,Mozilla/5.0 (iPhone),sess-83f34f79-c03,2026-01-10T07:01:51Z
DEV-001002,PLY-NETW-108,dev-ply-netw-108,192.168.202.9,LOGIN,TABLET,BR,Mozilla/5.0 (iPhone),sess-ebeaa8be-e40,2026-01-10T08:18:13Z
DEV-000963,PLY-NETW-105,SHARED-NET-BETA-001,200.18.77.33,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (Windows),sess-9ff9d671-b23,2026-01-10T08:26:11Z
DEV-000031,PLY-NORM-003,dev-ply-norm-003,192.168.90.57,BET,MOBILE_IOS,BR,Mozilla/5.0 (Android),sess-530cc9d4-ce4,2026-01-10T08:55:35Z
DEV-000855,PLY-PEP_-119,dev-ply-pep_-119,192.168.68.88,LOGIN,MOBILE_ANDROID,BR,Mozilla/5.0 (Mac),sess-9ad1b1e1-314,2026-01-10T15:09:49Z
DEV-000784,PLY-BONU-111,dev-ply-bonu-111,192.168.218.72,WITHDRAWAL,MOBILE_ANDROID,BR,Mozilla/5.0 (Mac),sess-05ede9f2-fff,2026-01-10T20:55:19Z
DEV-000564,PLY-NORM-071,dev-ply-norm-071,192.168.127.248,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (Mac),sess-35f4ca49-116,2026-01-10T23:38:04Z
DEV-000770,PLY-STRU-096,dev-ply-stru-096,192.168.108.120,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (iPhone),sess-b6a91840-6f5,2026-01-10T23:43:28Z
DEV-000741,PLY-STRU-093,dev-ply-stru-093,192.168.224.39,LOGIN,TABLET,BR,Mozilla/5.0 (iPhone),sess-2984dabc-80c,2026-01-11T03:41:08Z
DEV-000926,PLY-NETW-103,dev-ply-netw-103,192.168.121.197,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (iPhone),sess-b30e3817-49e,2026-01-11T03:45:52Z
DEV-000122,PLY-NORM-015,dev-ply-norm-015,192.168.1.195,DEPOSIT,TABLET,BR,Mozilla/5.0 (Android),sess-51ac8735-9af,2026-01-11T05:27:38Z
DEV-000758,PLY-STRU-095,dev-ply-stru-095,192.168.222.123,WITHDRAWAL,TABLET,BR,Mozilla/5.0 (Android),sess-4fe9e26b-d1c,2026-01-11T06:38:48Z
DEV-000048,PLY-NORM-006,dev-ply-norm-006,192.168.6.198,LOGIN,DESKTOP,BR,Mozilla/5.0 (Windows),sess-ee9b49a9-f1f,2026-01-11T10:20:29Z
DEV-000073,PLY-NORM-009,dev-ply-norm-009,192.168.113.141,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (Windows),sess-e931a96d-c38,2026-01-11T10:53:03Z
DEV-001023,PLY-NETW-110,SHARED-NET-GAMMA-001,177.92.55.42,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (Mac),sess-85131e97-3b2,2026-01-11T13:59:40Z
DEV-000993,PLY-NETW-107,dev-ply-netw-107,192.168.151.15,LOGIN,MOBILE_ANDROID,BR,Mozilla/5.0 (Windows),sess-b5940cad-796,2026-01-11T14:06:08Z
DEV-000806,PLY-BONU-114,dev-ply-bonu-114,192.168.96.102,WITHDRAWAL,DESKTOP,BR,Mozilla/5.0 (iPhone),sess-6c0e7972-a2a,2026-01-11T15:32:34Z
DEV-000167,PLY-NORM-020,dev-ply-norm-020,192.168.223.232,BET,DESKTOP,BR,Mozilla/5.0 (Mac),sess-5d98f615-395,2026-01-12T01:41:53Z
DEV-000406,PLY-NORM-049,dev-ply-norm-049,192.168.231.13,LOGIN,MOBILE_IOS,BR,Mozilla/5.0 (Windows),sess-d2313485-82f,2026-01-12T03:00:33Z
DEV-000473,PLY-NORM-058,dev-ply-norm-058,192.168.173.106,BET,TABLET,BR,Mozilla/5.0 (Android),sess-41b19548-155,2026-01-12T11:30:58Z
DEV-000258,PLY-NORM-033,dev-ply-norm-033,192.168.73.55,WITHDRAWAL,MOBILE_IOS,BR,Mozilla/5.0 (Mac),sess-76ea36f0-84f,2026-01-12T11:55:37Z
DEV-000962,PLY-NETW-105,SHARED-NET-BETA-001,200.18.77.33,LOGIN,MOBILE_ANDROID,BR,Mozilla/5.0 (Mac),sess-d4210cea-1c8,2026-01-12T16:16:16Z
DEV-000479,PLY-NORM-059,dev-ply-norm-059,192.168.228.35,BET,MOBILE_ANDROID,BR,Mozilla/5.0 (iPhone),sess-e296838c-02a,2026-01-12T16:56:39Z
DEV-000026,PLY-NORM-003,dev-ply-norm-003,192.168.90.57,WITHDRAWAL,MOBILE_ANDROID,BR,Mozilla/5.0 (Android),sess-246fb9ea-be0,2026-01-12T18:43:15Z
DEV-000874,PLY-NETW-099,SHARED-NET-ALPHA-001,189.45.100.10,BET,MOBILE_IOS,BR,Mozilla/5.0 (Windows),sess-973e450d-9b3,2026-01-12T20:38:15Z
DEV-000610,PLY-NORM-076,dev-ply-norm-076,192.168.62.241,LOGIN,DESKTOP,BR,Mozilla/5.0 (Android),sess-34987acf-3df,2026-01-12T20:47:51Z
DEV-000306,PLY-NORM-037,dev-ply-norm-037,192.168.154.97,WITHDRAWAL,MOBILE_IOS,BR,Mozilla/5.0 (Windows),sess-cf690d7d-0f4,2026-01-13T02:19:44Z
DEV-000137,PLY-NORM-017,dev-ply-norm-017,192.168.236.129,BET,DESKTOP,BR,Mozilla/5.0 (Mac),sess-af4c9055-718,2026-01-13T03:18:17Z
DEV-000278,PLY-NORM-034,dev-ply-norm-034,192.168.161.153,BET,TABLET,BR,Mozilla/5.0 (Mac),sess-18e20f8c-9c9,2026-01-13T04:12:20Z
DEV-000457,PLY-NORM-057,dev-ply-norm-057,192.168.110.45,DEPOSIT,TABLET,BR,Mozilla/5.0 (iPhone),sess-8c3087df-9cd,2026-01-13T05:51:11Z
DEV-000428,PLY-NORM-052,dev-ply-norm-052,192.168.32.227,LOGIN,DESKTOP,BR,Mozilla/5.0 (Mac),sess-c5587604-995,2026-01-13T08:05:50Z
DEV-000216,PLY-NORM-026,dev-ply-norm-026,192.168.56.100,LOGIN,DESKTOP,BR,Mozilla/5.0 (iPhone),sess-fd937ff9-7b5,2026-01-13T08:15:03Z
DEV-000530,PLY-NORM-067,dev-ply-norm-067,192.168.235.227,DEPOSIT,TABLET,BR,Mozilla/5.0 (iPhone),sess-e5ba56a5-502,2026-01-13T10:59:59Z
DEV-000500,PLY-NORM-063,dev-ply-norm-063,192.168.81.179,DEPOSIT,MOBILE_IOS,BR,Mozilla/5.0 (Windows),sess-af300482-c31,2026-01-13T11:28:01Z
DEV-000224,PLY-NORM-027,dev-ply-norm-027,192.168.84.107,BET,MOBILE_ANDROID,BR,Mozilla/5.0 (Mac),sess-04231208-4a6,2026-01-13T12:23:27Z
DEV-000985,PLY-NETW-107,dev-ply-netw-107,192.168.151.15,DEPOSIT,MOBILE_IOS,BR,Mozilla/5.0 (Mac),sess-e5ab6df9-bc3,2026-01-13T14:27:04Z
DEV-000653,PLY-INCO-082,dev-ply-inco-082,192.168.115.192,LOGIN,MOBILE_ANDROID,BR,Mozilla/5.0 (Windows),sess-26a335a9-52f,2026-01-13T22:09:10Z
DEV-000272,PLY-NORM-034,dev-ply-norm-034,192.168.161.153,LOGIN,DESKTOP,BR,Mozilla/5.0 (iPhone),sess-e4370312-bc7,2026-01-13T23:13:49Z
DEV-000659,PLY-INCO-083,dev-ply-inco-083,192.168.118.202,BET,MOBILE_IOS,BR,Mozilla/5.0 (Windows),sess-bdfa8d5e-910,2026-01-14T02:18:11Z
DEV-000243,PLY-NORM-030,dev-ply-norm-030,192.168.192.109,LOGIN,MOBILE_ANDROID,BR,Mozilla/5.0 (iPhone),sess-e46b80c9-fe6,2026-01-14T02:35:23Z
DEV-000833,PLY-PEP_-117,dev-ply-pep_-117,192.168.62.191,DEPOSIT,DESKTOP,BR,Mozilla/5.0 (Mac),sess-a9a853f7-6cc,2026-01-14T04:40:09Z
DEV-000313,PLY-NORM-038,dev-ply-norm-038,192.168.192.190,DEPOSIT,TABLET,BR,Mozilla/5.0 (iPhone),sess-c0ee5bda-2f8,2026-01-14T12:15:41Z
DEV-000182,PLY-NORM-022,dev-ply-norm-022,192.168.118.90,LOGIN,TABLET,BR,Mozilla/5.0 (iPhone),sess-7a872aa7-9ec,2026-01-14T12:56:53Z
DEV-000161,PLY-NORM-019,dev-ply-norm-019,192.168.38.233,LOGIN,DESKTOP,BR,Mozilla/5.0 (Mac),sess-8437a052-d6b,2026-01-14T13:49:47Z
DEV-000098,PLY-NORM-012,dev-ply-norm-012,192.168.22.248,DEPOSIT,TABLET,BR,Mozilla/5.0 (iPhone),sess-2a96500c-30a,2026-01-14T20:21:51Z
DEV-000345,PLY-NORM-042,dev-ply-norm-042,192.168.173.247,LOGIN,MOBILE_ANDROID,BR,Mozilla/5.0 (Mac),sess-43d78284-67e,2026-01-14T20:52:05Z
DEV-000571,PLY-NORM-072,dev-ply-norm-072,192.168.198.220,BET,MOBILE_ANDROID,BR,Mozilla/5.0 (iPhone),sess-97ad535a-548,2026-01-15T00:10:13Z
DEV-000628,PLY-NORM-079,dev-ply-norm-079,192.168.86.36,LOGIN,MOBILE_ANDROID,BR,Mozilla/5.0 (Android),sess-0cbcdfba-bf6,2026-01-15T02:38:38Z
DEV-000068,PLY-NORM-009,dev-ply-norm-009,192.168.113.141,LOGIN,TABLET,BR,Mozilla/5.0 (iPhone),sess-f41c8b0c-a73,2026-01-15T03:44:00Z
DEV-000261,PLY-NORM-033,dev-ply-norm-033,192.168.73.55,WITHDRAWAL,TABLET,BR,Mozilla/5.0 (iPhone),sess-616ff84c-0c0,2026-01-15T03:52:12Z
DEV-000704,PLY-INCO-088,dev-ply-inco-088,192.168.62.122,BET,MOBILE_IOS,BR,Mozilla/5.0 (Android),sess-a631821c-1c0,2026-01-15T04:34:30Z
DEV-000164,PLY-NORM-020,dev-ply-norm-020,192.168.223.232,LOGIN,DESKTOP,BR,Mozilla/5.0 (Mac),sess-03f35509-bd3,2026-01-15T12:20:32Z
DEV-000421,PLY-NORM-052,dev-ply-norm-052,192.168.32.227,DEPOSIT,DESKTOP,BR,Mozilla/5.0 (Mac),sess-252e0d10-412,2026-01-15T13:42:58Z
