external_bet_id,external_player_id,stake_amount,odds,potential_payout,settled_payout,bet_type,product_type,sport,market_type,event_id,selection,channel,placed_at,settled_at,status,game_id,game_name,game_provider,game_category,rtp_teorico
BET-000373,PLY-NORM-027,90.90,6.21,564.50,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,OVER_UNDER,PAL_VS_SAO_20260321,BTTS Yes,TERMINAL,2026-01-05T07:31:58Z,2026-01-08T05:31:58Z,LOST,,,,,
BET-001835,PLY-BONU-112,45.20,,51.98,51.98,CASINO_LIVE,CASINO_LIVE,,,,,TERMINAL,2026-01-05T08:16:14Z,2026-01-07T12:16:14Z,WON,GAME-BLACKJACK-01,Infinite Blackjack,Evolution,LIVE,0.9956
BET-001359,PLY-INCO-086,4297.02,3.38,14523.92,0.00,SPORTSBOOK,SPORTSBOOK,ESPORTS,HANDICAP,BOT_VS_FLU_20260323,Away Win,TERMINAL,2026-01-05T08:38:30Z,2026-01-05T10:38:30Z,LOST,,,,,
BET-000161,PLY-NORM-011,109.54,3.83,419.55,0.00,SPORTSBOOK,SPORTSBOOK,BASKETBALL,OVER_UNDER,PAL_VS_SAO_20260321,Draw,WEB,2026-01-05T08:44:46Z,2026-01-05T14:44:46Z,LOST,,,,,
BET-000265,PLY-NORM-020,191.73,6.18,1184.91,139.61,SPORTSBOOK,SPORTSBOOK,TENNIS,BOTH_TEAMS_SCORE,FLA_VS_COR_20260320,Away Win,TERMINAL,2026-01-05T08:46:15Z,2026-01-06T03:46:15Z,CASHOUT,,,,,
BET-000638,PLY-NORM-045,49.72,3.56,177.02,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,HANDICAP,BOT_VS_FLU_20260323,Away Win,APP,2026-01-05T10:49:48Z,2026-01-07T01:49:48Z,LOST,,,,,
BET-001659,PLY-NETW-101,359.66,4.59,1650.82,1650.82,SPORTSBOOK,SPORTSBOOK,SOCCER,BOTH_TEAMS_SCORE,NBA_LAL_VS_GSW_20260325,Away Win,WEB,2026-01-05T10:51:09Z,2026-01-05T11:51:09Z,WON,,,,,
BET-001967,PLY-PEP_-116,247.68,5.97,1478.66,0.00,SPORTSBOOK,SPORTSBOOK,SOCCER,HANDICAP,BOT_VS_FLU_20260323,Draw,WEB,2026-01-05T14:01:29Z,2026-01-08T14:01:29Z,LOST,,,,,
BET-000462,PLY-NORM-034,149.12,4.88,727.73,0.00,SPORTSBOOK,SPORTSBOOK,TENNIS,BOTH_TEAMS_SCORE,WIMBLEDON_R1_20260315,Home Win,APP,2026-01-05T15:14:07Z,2026-01-05T23:14:07Z,LOST,,,,,
BET-001884,PLY-BONU-113,177.81,,234.71,78.23,CASINO_LIVE,CASINO_LIVE,,,,,WEB,2026-01-05T15:53:52Z,2026-01-05T22:53:52Z,CASHOUT,GAME-ROULETTE-01,Lightning Roulette,Evolution,LIVE,0.9730
BET-001562,PLY-STRU-094,314.58,3.97,1248.88,0.00,SPORTSBOOK,SPORTSBOOK,SOCCER,HANDICAP,NBA_LAL_VS_GSW_20260325,Away Win,WEB,2026-01-05T15:59:31Z,2026-01-07T09:59:31Z,LOST,,,,,
BET-000654,PLY-NORM-046,230.43,3.81,877.93,0.00,SPORTSBOOK,SPORTSBOOK,MMA,OVER_UNDER,SAN_VS_VAS_20260317,Under 2.5,WEB,2026-01-05T19:00:17Z,2026-01-07T13:00:17Z,LOST,,,,,
BET-000998,PLY-NORM-067,378.56,6.52,2468.23,289.64,SPORTSBOOK,SPORTSBOOK,SOCCER,HANDICAP,NBA_LAL_VS_GSW_20260325,Away Win,APP,2026-01-05T19:23:39Z,2026-01-08T02:23:39Z,CASHOUT,,,,,
BET-000503,PLY-NORM-037,64.63,2.52,162.86,0.00,SPORTSBOOK,SPORTSBOOK,BASKETBALL,CORRECT_SCORE,SAN_VS_VAS_20260317,Home Win,APP,2026-01-05T20:38:41Z,2026-01-06T02:38:41Z,LOST,,,,,
BET-000278,PLY-NORM-022,236.03,7.41,1748.98,0.00,SPORTSBOOK,SPORTSBOOK,BASKETBALL,CORRECT_SCORE,ATM_VS_CAP_20260318,Away Win,TERMINAL,2026-01-05T21:04:18Z,2026-01-06T09:04:18Z,LOST,,,,,
BET-001718,PLY-NETW-105,1557.33,5.17,8051.40,0.00,SPORTSBOOK,SPORTSBOOK,MMA,BOTH_TEAMS_SCORE,WIMBLEDON_R1_20260315,Under 2.5,WEB,2026-01-05T21:21:15Z,2026-01-05T22:21:15Z,LOST,,,,,
BET-001764,PLY-NETW-109,282.09,5.05,1424.56,0.00,SPORTSBOOK,SPORTSBOOK,SOCCER,HANDICAP,PAL_VS_SAO_20260321,Draw,APP,2026-01-05T22:59:10Z,2026-01-06T03:59:10Z,LOST,,,,,
BET-002014,PLY-PEP_-118,7838.22,2.54,19909.07,0.00,SPORTSBOOK,SPORTSBOOK,ESPORTS,CORRECT_SCORE,UFC_300_20260329,Away Win,APP,2026-01-06T01:08:33Z,2026-01-08T16:08:33Z,LOST,,,,,
BET-001637,PLY-NETW-099,1630.44,2.57,4190.23,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,HANDICAP,SAN_VS_VAS_20260317,Away Win,TERMINAL,2026-01-06T02:14:05Z,2026-01-06T05:14:05Z,LOST,,,,,
BET-001663,PLY-NETW-101,1147.12,2.50,2867.79,0.00,SPORTSBOOK,SPORTSBOOK,TENNIS,OVER_UNDER,BOT_VS_FLU_20260323,BTTS Yes,WEB,2026-01-06T03:37:17Z,2026-01-08T06:37:17Z,LOST,,,,,
BET-001430,PLY-INCO-088,2119.35,3.10,6569.99,0.00,SPORTSBOOK,SPORTSBOOK,BASKETBALL,OVER_UNDER,NBA_LAL_VS_GSW_20260325,BTTS Yes,TERMINAL,2026-01-06T03:59:21Z,2026-01-07T02:59:21Z,LOST,,,,,
BET-001087,PLY-NORM-073,139.00,1.60,222.39,0.00,SPORTSBOOK,SPORTSBOOK,ESPORTS,BOTH_TEAMS_SCORE,WIMBLEDON_R1_20260315,Over 2.5,WEB,2026-01-06T04:22:08Z,2026-01-09T04:22:08Z,LOST,,,,,
BET-000850,PLY-NORM-060,103.95,6.98,725.54,0.00,SPORTSBOOK,SPORTSBOOK,ESPORTS,1X2,WIMBLEDON_R1_20260315,Home Win,WEB,2026-01-06T04:42:49Z,2026-01-06T08:42:49Z,LOST,,,,,
BET-001072,PLY-NORM-072,206.70,4.58,946.68,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,BOTH_TEAMS_SCORE,UFC_300_20260329,Away Win,WEB,2026-01-06T06:19:22Z,2026-01-09T06:19:22Z,LOST,,,,,
BET-001766,PLY-NETW-109,1720.47,2.75,4731.30,0.00,SPORTSBOOK,SPORTSBOOK,BASKETBALL,OVER_UNDER,FLA_VS_COR_20260320,Draw,APP,2026-01-06T08:03:19Z,2026-01-07T01:03:19Z,LOST,,,,,
BET-001962,PLY-PEP_-116,6966.99,5.40,37621.73,37621.73,SPORTSBOOK,SPORTSBOOK,TENNIS,1X2,SAN_VS_VAS_20260317,BTTS Yes,WEB,2026-01-06T08:24:55Z,2026-01-08T00:24:55Z,WON,,,,,
BET-001074,PLY-NORM-072,97.17,5.56,540.28,0.00,SPORTSBOOK,SPORTSBOOK,TENNIS,CORRECT_SCORE,BRA_VS_ARG_20260401,Away Win,APP,2026-01-06T11:42:44Z,2026-01-07T17:42:44Z,LOST,,,,,
BET-000400,PLY-NORM-029,254.21,5.37,1365.13,0.00,SPORTSBOOK,SPORTSBOOK,MMA,1X2,WIMBLEDON_R1_20260315,BTTS Yes,APP,2026-01-06T12:25:15Z,2026-01-09T02:25:15Z,LOST,,,,,
BET-001792,PLY-BONU-111,128.29,1.38,177.05,177.05,SPORTSBOOK,SPORTSBOOK,TENNIS,HANDICAP,BOT_VS_FLU_20260323,Over 2.5,TERMINAL,2026-01-06T13:11:48Z,2026-01-07T19:11:48Z,WON,,,,,
BET-000099,PLY-NORM-006,113.45,4.01,454.94,0.00,SPORTSBOOK,SPORTSBOOK,TENNIS,CORRECT_SCORE,GRE_VS_INT_20260322,BTTS Yes,TERMINAL,2026-01-06T13:25:28Z,2026-01-09T04:25:28Z,LOST,,,,,
BET-001394,PLY-INCO-087,1027.90,4.13,4245.24,0.00,SPORTSBOOK,SPORTSBOOK,SOCCER,1X2,BOT_VS_FLU_20260323,Under 2.5,APP,2026-01-06T14:45:06Z,2026-01-07T11:45:06Z,LOST,,,,,
BET-001202,PLY-INCO-081,770.03,2.73,2102.19,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,BOTH_TEAMS_SCORE,FLA_VS_COR_20260320,Under 2.5,WEB,2026-01-06T15:04:41Z,2026-01-06T22:04:41Z,LOST,,,,,
BET-000106,PLY-NORM-007,201.25,7.00,1408.74,111.31,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,OVER_UNDER,BAH_VS_FOR_20260319,BTTS Yes,WEB,2026-01-06T15:36:41Z,2026-01-08T14:36:41Z,CASHOUT,,,,,
BET-001197,PLY-INCO-081,2032.57,2.08,4227.74,4227.74,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,HANDICAP,SAN_VS_VAS_20260317,BTTS Yes,WEB,2026-01-06T15:46:40Z,2026-01-08T16:46:40Z,WON,,,,,
BET-001160,PLY-NORM-078,317.38,1.39,441.16,0.00,SPORTSBOOK,SPORTSBOOK,TENNIS,OVER_UNDER,BOT_VS_FLU_20260323,Away Win,WEB,2026-01-06T18:00:35Z,2026-01-07T01:00:35Z,LOST,,,,,
BET-001082,PLY-NORM-072,46.45,3.82,177.42,177.42,SPORTSBOOK,SPORTSBOOK,ESPORTS,BOTH_TEAMS_SCORE,WIMBLEDON_R1_20260315,Draw,WEB,2026-01-06T18:41:13Z,2026-01-09T16:41:13Z,WON,,,,,
BET-001439,PLY-INCO-089,2481.25,2.77,6873.05,879.42,SPORTSBOOK,SPORTSBOOK,TENNIS,CORRECT_SCORE,NBA_LAL_VS_GSW_20260325,Over 2.5,APP,2026-01-06T18:50:19Z,2026-01-09T12:50:19Z,CASHOUT,,,,,
BET-000013,PLY-NORM-001,162.00,5.21,844.00,0.00,SPORTSBOOK,SPORTSBOOK,MMA,OVER_UNDER,BAH_VS_FOR_20260319,Away Win,APP,2026-01-06T19:03:56Z,2026-01-07T21:03:56Z,LOST,,,,,
BET-001338,PLY-INCO-086,4821.77,3.61,17406.58,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,1X2,BOT_VS_FLU_20260323,Away Win,WEB,2026-01-06T19:09:27Z,2026-01-09T13:09:27Z,LOST,,,,,
BET-001372,PLY-INCO-087,6254.35,4.87,30458.67,0.00,SPORTSBOOK,SPORTSBOOK,SOCCER,OVER_UNDER,CRU_VS_AME_20260316,Away Win,WEB,2026-01-06T20:56:33Z,2026-01-09T18:56:33Z,LOST,,,,,
BET-000870,PLY-NORM-060,30.92,5.91,182.74,0.00,SPORTSBOOK,SPORTSBOOK,TENNIS,OVER_UNDER,BOT_VS_FLU_20260323,Away Win,WEB,2026-01-06T21:05:18Z,2026-01-07T05:05:18Z,LOST,,,,,
BET-001733,PLY-NETW-106,1570.64,2.44,3832.37,0.00,SPORTSBOOK,SPORTSBOOK,TENNIS,CORRECT_SCORE,SAN_VS_VAS_20260317,BTTS Yes,TERMINAL,2026-01-06T21:31:51Z,2026-01-07T09:31:51Z,LOST,,,,,
BET-000357,PLY-NORM-026,157.91,7.28,1149.56,0.00,SPORTSBOOK,SPORTSBOOK,TENNIS,OVER_UNDER,BRA_VS_ARG_20260401,BTTS Yes,TERMINAL,2026-01-06T22:51:02Z,2026-01-09T17:51:02Z,LOST,,,,,
BET-000325,PLY-NORM-024,154.95,5.13,794.92,0.00,SPORTSBOOK,SPORTSBOOK,ESPORTS,HANDICAP,UFC_300_20260329,Under 2.5,WEB,2026-01-06T23:23:21Z,2026-01-08T10:23:21Z,LOST,,,,,
BET-001005,PLY-NORM-067,340.86,4.75,1619.10,1619.10,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,OVER_UNDER,PAL_VS_SAO_20260321,Over 2.5,APP,2026-01-06T23:39:27Z,2026-01-09T04:39:27Z,WON,,,,,
BET-001315,PLY-INCO-085,2850.98,4.86,13855.77,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,1X2,FLA_VS_COR_20260320,Under 2.5,WEB,2026-01-07T00:25:21Z,2026-01-09T23:25:21Z,LOST,,,,,
BET-000614,PLY-NORM-043,387.31,1.95,755.26,0.00,SPORTSBOOK,SPORTSBOOK,MMA,BOTH_TEAMS_SCORE,GRE_VS_INT_20260322,Home Win,TERMINAL,2026-01-07T01:03:26Z,2026-01-09T14:03:26Z,LOST,,,,,
BET-000145,PLY-NORM-010,224.05,5.33,1194.19,166.25,SPORTSBOOK,SPORTSBOOK,BASKETBALL,BOTH_TEAMS_SCORE,PAL_VS_SAO_20260321,Home Win,TERMINAL,2026-01-07T04:38:38Z,2026-01-08T05:38:38Z,CASHOUT,,,,,
BET-001317,PLY-INCO-085,1620.73,3.83,6207.39,0.00,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,OVER_UNDER,NBA_LAL_VS_GSW_20260325,Under 2.5,TERMINAL,2026-01-07T04:52:54Z,2026-01-10T02:52:54Z,LOST,,,,,
BET-000330,PLY-NORM-024,431.68,5.19,2240.42,0.00,SPORTSBOOK,SPORTSBOOK,ESPORTS,HANDICAP,ATM_VS_CAP_20260318,Home Win,TERMINAL,2026-01-07T06:37:26Z,2026-01-07T14:37:26Z,LOST,,,,,
BET-000371,PLY-NORM-027,67.67,6.60,446.64,0.00,SPORTSBOOK,SPORTSBOOK,BASKETBALL,OVER_UNDER,FLA_VS_COR_20260320,Draw,TERMINAL,2026-01-07T07:20:09Z,2026-01-07T11:20:09Z,LOST,,,,,
BET-000659,PLY-NORM-047,359.80,2.81,1011.04,0.00,SPORTSBOOK,SPORTSBOOK,BASKETBALL,OVER_UNDER,BRA_VS_ARG_20260401,Draw,APP,2026-01-07T07:34:22Z,2026-01-08T13:34:22Z,LOST,,,,,
BET-001625,PLY-STRU-098,245.44,3.98,976.84,976.84,SPORTSBOOK,SPORTSBOOK,VOLLEYBALL,CORRECT_SCORE,PAL_VS_SAO_20260321,Under 2.5,TERMINAL,2026-01-07T07:55:47Z,2026-01-07T23:55:47Z,WON,,,,,
BET-001368,PLY-INCO-087,2818.04,3.88,10933.98,10933.98,SPORTSBOOK,SPORTSBOOK,BASKETBALL,BOTH_TEAMS_SCORE,CRU_VS_AME_20260316,Away Win,APP,2026-01-07T07:59:19Z,2026-01-10T01:59:19Z,WON,,,,,
BET-001915,PLY-BONU-114,26.69,,36.56,0.00,CASINO_LIVE,CASINO_LIVE,,,,,WEB,2026-01-07T10:43:45Z,2026-01-08T06:43:45Z,LOST,GAME-POKER-01,Casino Hold'em,Evolution,TABLE,0.9747
BET-000698,PLY-NORM-049,159.39,6.48,1032.86,0.00,SPORTSBOOK,SPORTSBOOK,ESPORTS,CORRECT_SCORE,CRU_VS_AME_20260316,Away Win,TERMINAL,2026-01-07T10:46:09Z,2026-01-09T06:46:09Z,LOST,,,,,
